captain_id,city,vehicle_type,signup_month,captain_type,rides_week1,rides_week2,rides_week3,rides_week4,ride_decay_rate,night_rides_ratio,peak_hour_ratio,cancellation_rate,avg_ride_duration,avg_fare_per_km,petrol_cost_sensitivity,estimated_daily_earnings,zone_switches,incentive_claimed,streak_completed,app_opens_per_day,support_tickets,payment_method_pref,is_churned,is_bike,is_parttime,is_bengaluru,churn_probability,risk_segment,rides_decay_x_parttime,low_earnings_x_bike,cancellation_x_zone,week4_x_incentive
CAP00058,Bengaluru,bike,8,fulltime,79,57,50,45,0.425,0.436,0.379,0.22,19.9,9.38,0.58,439.0,0,0,0,5,1,paytm,1,1,0,1,0.09367747378619032,Low Risk,0.0,439.0,0.0,0
CAP00059,Bengaluru,bike,1,parttime,24,15,10,6,0.72,0.675,0.268,0.22,25.8,8.24,0.404,51.0,6,1,1,2,1,cash,1,1,1,1,0.8361196857130831,High Risk,0.72,51.0,1.32,6
CAP00060,Hyderabad,bike,6,fulltime,72,50,28,20,0.712,0.164,0.11,0.22,22.5,11.98,0.543,249.0,2,0,0,9,2,cash,0,1,0,0,0.4714956585047516,Medium Risk,0.0,249.0,0.44,0
CAP00061,Bengaluru,bike,2,parttime,27,15,9,4,0.821,0.249,0.281,0.08,15.7,11.33,0.25,56.0,3,0,1,8,1,gpay,1,1,1,1,0.5722429766813314,Medium Risk,0.821,56.0,0.24,0
CAP00062,Pune,bike,6,fulltime,69,55,40,23,0.657,0.109,0.628,0.092,15.5,11.55,0.627,322.0,1,0,1,9,1,amazon_pay,1,1,0,0,0.2083834314852422,Low Risk,0.0,322.0,0.092,0
CAP00063,Hyderabad,bike,1,fulltime,71,63,40,19,0.722,0.542,0.612,0.22,23.2,12.25,0.466,242.0,1,1,0,7,2,gpay,0,1,0,0,0.35741722412300997,Medium Risk,0.0,242.0,0.22,19
CAP00064,Bengaluru,bike,2,parttime,21,15,11,9,0.545,0.838,0.351,0.132,24.3,11.7,0.543,122.0,2,1,0,9,0,gpay,1,1,1,1,0.4892120636478855,Medium Risk,0.545,122.0,0.264,9
CAP00065,Hyderabad,bike,9,parttime,23,17,12,5,0.75,0.543,0.753,0.22,23.7,14.48,0.101,75.0,3,0,1,4,1,gpay,1,1,1,0,0.7357910800417663,High Risk,0.75,75.0,0.66,0
CAP00066,Bengaluru,bike,6,parttime,35,32,23,11,0.667,0.518,0.536,0.22,11.6,7.0,0.353,80.0,2,1,0,7,0,gpay,1,1,1,1,0.5848398170262847,Medium Risk,0.667,80.0,0.44,11
CAP00067,Pune,auto,8,fulltime,82,55,40,16,0.795,0.63,0.127,0.04,22.9,14.7,0.72,301.0,2,1,1,9,2,cash,0,0,0,0,0.22929537697647615,Low Risk,0.0,0.0,0.08,16
CAP00068,Bengaluru,bike,7,parttime,25,14,8,6,0.731,0.683,0.467,0.22,19.2,8.57,0.639,53.0,5,0,0,6,2,cash,1,1,1,1,0.8914623964873951,High Risk,0.731,53.0,1.1,0
CAP00069,Delhi,auto,9,fulltime,84,48,42,16,0.8,0.195,0.471,0.14,15.7,17.64,0.415,324.0,2,1,0,10,2,paytm,0,0,0,0,0.29439949446754876,Low Risk,0.0,0.0,0.28,16
CAP00070,Chennai,auto,9,parttime,31,26,18,6,0.781,0.452,0.49,0.097,21.9,24.09,0.124,174.0,6,1,0,6,1,paytm,1,0,1,0,0.49654600892155787,Medium Risk,0.781,0.0,0.5820000000000001,6
CAP00071,Bengaluru,auto,11,fulltime,94,59,27,19,0.789,0.085,0.793,0.14,26.2,22.58,0.581,492.0,1,0,1,6,1,gpay,0,0,0,1,0.17565076932525375,Low Risk,0.0,0.0,0.14,0
CAP00072,Bengaluru,bike,4,parttime,24,22,13,7,0.68,0.915,0.332,0.22,21.5,9.78,0.303,71.0,4,0,1,2,0,amazon_pay,1,1,1,1,0.7332040813974049,High Risk,0.68,71.0,0.88,0
CAP00073,Pune,bike,7,parttime,36,33,26,23,0.351,0.35,0.585,0.22,11.2,9.06,0.515,217.0,1,0,0,7,2,gpay,0,1,1,0,0.32704212720880294,Low Risk,0.351,217.0,0.22,0
CAP00074,Chennai,auto,5,parttime,25,22,17,14,0.423,0.568,0.148,0.14,26.6,18.94,0.279,304.0,3,1,1,10,1,gpay,0,0,1,0,0.2890794832384916,Low Risk,0.423,0.0,0.42000000000000004,14
CAP00075,Chennai,bike,7,parttime,25,18,9,5,0.769,0.435,0.242,0.22,16.7,11.96,0.451,62.0,0,1,0,5,3,amazon_pay,1,1,1,0,0.731244501530897,High Risk,0.769,62.0,0.0,5
CAP00076,Chennai,bike,4,fulltime,79,59,55,21,0.725,0.623,0.557,0.156,19.6,12.77,0.404,302.0,1,1,0,7,2,paytm,0,1,0,0,0.2838296762557486,Low Risk,0.0,302.0,0.156,21
CAP00077,Bengaluru,bike,12,parttime,34,31,23,15,0.543,0.655,0.421,0.22,12.1,12.46,0.069,194.0,5,1,0,10,1,paytm,0,1,1,1,0.5703945982174214,Medium Risk,0.543,194.0,1.1,15
CAP00078,Hyderabad,bike,10,fulltime,72,48,29,27,0.616,0.362,0.233,0.17,17.1,10.04,0.062,300.0,0,0,0,3,1,cash,0,1,0,0,0.23455021862154715,Low Risk,0.0,300.0,0.0,0
CAP00079,Bengaluru,auto,11,fulltime,84,62,40,29,0.647,0.439,0.556,0.04,24.0,16.43,0.156,610.0,2,0,1,5,0,paytm,0,0,0,1,0.07962724007498001,Low Risk,0.0,0.0,0.08,0
CAP00080,Pune,bike,11,parttime,36,25,22,18,0.486,0.512,0.399,0.186,17.3,9.44,0.426,184.0,3,1,0,4,1,gpay,0,1,1,0,0.48483607900657066,Medium Risk,0.486,184.0,0.558,18
CAP00081,Chennai,bike,1,parttime,27,18,11,6,0.75,0.439,0.277,0.169,18.3,10.14,0.181,67.0,6,1,0,7,3,paytm,1,1,1,0,0.8200036450472216,High Risk,0.75,67.0,1.014,6
CAP00082,Bengaluru,bike,4,fulltime,75,68,38,14,0.803,0.562,0.253,0.22,8.0,11.96,0.328,174.0,1,1,0,8,1,cash,0,1,0,1,0.29319919289501817,Low Risk,0.0,174.0,0.22,14
CAP00083,Bengaluru,bike,10,parttime,31,26,16,14,0.531,0.804,0.5,0.155,18.5,11.61,0.409,183.0,3,0,1,3,0,amazon_pay,1,1,1,1,0.39289686309175054,Medium Risk,0.531,183.0,0.46499999999999997,0
CAP00084,Bengaluru,bike,3,parttime,20,18,12,6,0.667,0.379,0.157,0.22,16.0,12.32,0.374,77.0,3,0,0,7,0,gpay,1,1,1,1,0.7286629831861883,High Risk,0.667,77.0,0.66,0
CAP00085,Bengaluru,bike,9,fulltime,66,38,20,8,0.866,0.605,0.346,0.191,10.5,12.54,0.2,108.0,0,1,1,8,2,gpay,1,1,0,1,0.26751079816793233,Low Risk,0.0,108.0,0.0,8
CAP00086,Chennai,bike,5,fulltime,91,80,38,16,0.815,0.438,0.398,0.22,14.3,8.89,0.294,148.0,1,0,1,7,2,amazon_pay,0,1,0,0,0.3162116884112478,Low Risk,0.0,148.0,0.22,0
CAP00087,Chennai,bike,4,parttime,31,21,13,5,0.812,0.816,0.363,0.22,15.2,12.28,0.47,64.0,2,1,1,4,0,qr_scan,1,1,1,0,0.702482146919928,High Risk,0.812,64.0,0.44,5
CAP00088,Pune,auto,8,fulltime,69,54,48,29,0.571,0.739,0.021,0.04,17.5,20.99,0.273,779.0,1,1,0,6,0,paytm,0,0,0,0,0.12431676190216273,Low Risk,0.0,0.0,0.04,29
CAP00089,Hyderabad,bike,5,parttime,25,20,18,15,0.385,0.472,0.296,0.22,18.6,13.39,0.357,209.0,3,0,0,10,3,gpay,0,1,1,0,0.5627588043731543,Medium Risk,0.385,209.0,0.66,0
CAP00090,Bengaluru,bike,3,parttime,44,26,22,9,0.778,0.493,0.732,0.22,15.4,8.26,0.664,77.0,3,0,1,6,1,amazon_pay,1,1,1,1,0.7247924387570978,High Risk,0.778,77.0,0.66,0
CAP00091,Chennai,bike,2,parttime,16,13,6,4,0.706,0.618,0.308,0.22,24.0,7.19,0.553,30.0,5,0,0,8,1,paytm,1,1,1,0,0.9173719144282778,High Risk,0.706,30.0,1.1,0
CAP00092,Chennai,bike,8,fulltime,80,54,25,9,0.877,0.203,0.062,0.174,17.2,12.95,0.381,128.0,2,1,1,7,0,qr_scan,0,1,0,0,0.3313684944522678,Low Risk,0.0,128.0,0.348,9
CAP00093,Hyderabad,auto,12,parttime,31,20,14,5,0.812,0.563,0.16,0.104,33.5,19.87,0.252,119.0,4,1,0,9,1,paytm,1,0,1,0,0.6748656992187871,High Risk,0.812,0.0,0.416,5
CAP00094,Chennai,auto,2,fulltime,75,55,43,18,0.75,0.176,0.595,0.14,21.6,20.55,0.725,424.0,1,0,0,3,0,gpay,0,0,0,0,0.2920414809094016,Low Risk,0.0,0.0,0.14,0
CAP00095,Hyderabad,bike,8,parttime,25,21,16,10,0.577,0.745,0.305,0.122,20.3,10.62,0.126,124.0,3,0,0,7,0,gpay,0,1,1,0,0.5508560670945859,Medium Risk,0.577,124.0,0.366,0
CAP00096,Hyderabad,bike,5,parttime,27,19,11,9,0.643,0.666,0.249,0.106,21.6,11.1,0.438,119.0,8,1,0,5,0,amazon_pay,1,1,1,0,0.5479128417086224,Medium Risk,0.643,119.0,0.848,9
CAP00097,Hyderabad,auto,8,fulltime,94,72,44,35,0.621,0.731,0.336,0.108,25.9,21.25,0.21,885.0,2,1,0,7,1,qr_scan,0,0,0,0,0.11946740654243093,Low Risk,0.0,0.0,0.216,35
CAP00098,Bengaluru,bike,5,parttime,26,16,14,12,0.519,0.904,0.429,0.22,11.9,14.84,0.438,185.0,2,0,0,4,2,paytm,1,1,1,1,0.5496648977377669,Medium Risk,0.519,185.0,0.44,0
CAP00099,Bengaluru,bike,1,parttime,32,21,13,11,0.636,0.83,0.468,0.22,26.1,11.86,0.254,136.0,4,1,0,4,4,gpay,0,1,1,1,0.7560751842826796,High Risk,0.636,136.0,0.88,11
CAP00100,Bengaluru,auto,12,parttime,17,15,11,4,0.722,0.785,0.504,0.04,15.9,16.89,0.276,86.0,7,1,0,3,1,paytm,0,0,1,1,0.34098385290683486,Low Risk,0.722,0.0,0.28,4
CAP00101,Chennai,bike,11,parttime,21,19,13,8,0.591,0.375,0.276,0.22,16.7,10.23,0.474,85.0,1,1,0,3,1,gpay,1,1,1,0,0.6222758088148451,Medium Risk,0.591,85.0,0.22,8
CAP00102,Bengaluru,auto,11,fulltime,74,66,57,46,0.373,0.449,0.285,0.04,17.7,25.14,0.586,1480.0,1,1,0,4,2,qr_scan,0,0,0,1,0.05967452020732077,Low Risk,0.0,0.0,0.04,46
CAP00103,Hyderabad,bike,2,parttime,33,23,19,17,0.471,0.35,0.133,0.22,17.5,13.11,0.428,232.0,3,0,1,6,0,cash,0,1,1,0,0.4539086558847775,Medium Risk,0.471,232.0,0.66,0
CAP00104,Delhi,bike,6,fulltime,72,40,30,22,0.685,0.27,0.251,0.125,14.1,10.3,0.503,264.0,0,0,0,4,0,paytm,0,1,0,0,0.29709642199146347,Low Risk,0.0,264.0,0.0,0
CAP00105,Bengaluru,bike,3,parttime,32,29,26,22,0.303,0.773,0.288,0.08,11.0,14.11,0.58,381.0,3,0,1,2,0,paytm,0,1,1,1,0.13473465664489637,Low Risk,0.303,381.0,0.24,0
CAP00106,Hyderabad,bike,8,parttime,30,21,11,6,0.774,0.792,0.597,0.22,22.9,13.47,0.723,84.0,4,0,0,7,0,amazon_pay,1,1,1,0,0.8663861660053762,High Risk,0.774,84.0,0.88,0
CAP00107,Chennai,bike,5,parttime,25,21,15,11,0.538,0.58,0.095,0.08,20.8,9.9,0.106,134.0,6,0,0,5,1,paytm,1,1,1,0,0.4320924536989863,Medium Risk,0.538,134.0,0.48,0
CAP00108,Bengaluru,bike,3,fulltime,73,55,31,17,0.757,0.414,0.086,0.185,12.5,8.62,0.273,159.0,2,0,0,9,3,gpay,1,1,0,1,0.4001325950475907,Medium Risk,0.0,159.0,0.37,0
CAP00109,Bengaluru,bike,12,parttime,21,19,9,4,0.773,0.662,0.323,0.22,17.4,10.03,0.251,42.0,5,1,0,6,0,gpay,1,1,1,1,0.8411075218723963,High Risk,0.773,42.0,1.1,4
CAP00110,Bengaluru,bike,10,parttime,25,14,11,4,0.808,0.663,0.485,0.08,19.6,10.17,0.429,50.0,2,0,1,10,0,gpay,1,1,1,1,0.6047302545168491,Medium Risk,0.808,50.0,0.16,0
CAP00111,Bengaluru,bike,7,fulltime,78,68,51,44,0.43,0.74,0.151,0.22,17.1,9.46,0.364,433.0,1,0,0,8,0,qr_scan,0,1,0,1,0.09989570228807435,Low Risk,0.0,433.0,0.22,0
CAP00112,Delhi,bike,8,parttime,34,30,15,5,0.829,0.852,0.207,0.22,16.9,11.96,0.243,62.0,2,1,1,4,3,gpay,0,1,1,0,0.7494790583370949,High Risk,0.829,62.0,0.44,5
CAP00113,Pune,bike,4,fulltime,75,49,46,43,0.421,0.288,0.324,0.22,18.4,10.15,0.437,454.0,1,0,0,6,1,gpay,0,1,0,0,0.14444520548036222,Low Risk,0.0,454.0,0.22,0
CAP00114,Chennai,bike,11,fulltime,80,64,31,20,0.741,0.422,0.648,0.08,14.2,9.01,0.218,221.0,2,0,0,3,2,paytm,0,1,0,0,0.2907184969478191,Low Risk,0.0,221.0,0.16,0
CAP00115,Pune,bike,9,fulltime,78,44,34,22,0.709,0.465,0.078,0.08,13.5,12.14,0.422,328.0,4,1,1,8,1,qr_scan,0,1,0,0,0.15938666613752953,Low Risk,0.0,328.0,0.32,22
CAP00116,Pune,bike,6,fulltime,77,52,39,15,0.795,0.222,0.24,0.22,15.1,11.58,0.101,181.0,2,0,0,6,2,gpay,0,1,0,0,0.4492697209053935,Medium Risk,0.0,181.0,0.44,0
CAP00117,Bengaluru,bike,1,parttime,18,12,7,2,0.842,0.525,0.303,0.22,18.9,11.98,0.378,25.0,0,0,0,3,0,qr_scan,1,1,1,1,0.7554157824552287,High Risk,0.842,25.0,0.0,0
CAP00118,Pune,bike,5,fulltime,80,47,41,32,0.593,0.405,0.473,0.185,23.1,7.0,0.563,243.0,1,1,0,4,3,gpay,0,1,0,0,0.24751612536569711,Low Risk,0.0,243.0,0.185,32
