captain_id,city,vehicle_type,signup_month,captain_type,rides_week1,rides_week2,rides_week3,rides_week4,ride_decay_rate,night_rides_ratio,peak_hour_ratio,cancellation_rate,avg_ride_duration,avg_fare_per_km,petrol_cost_sensitivity,estimated_daily_earnings,zone_switches,incentive_claimed,streak_completed,app_opens_per_day,support_tickets,payment_method_pref,is_churned
CAP00015,Bengaluru,bike,10,parttime,24,22,12,10,0.56,0.49,0.292,0.08,16.3,10.44,0.477,128.0,1,1,1,5,0,paytm,0
CAP00016,Bengaluru,bike,2,fulltime,88,58,47,40,0.539,0.193,0.327,0.22,20.9,9.94,0.296,414.0,0,0,0,8,0,gpay,1
CAP00017,Hyderabad,bike,3,parttime,27,16,13,12,0.536,0.399,0.392,0.187,18.0,7.77,0.346,101.0,0,0,0,9,0,gpay,1
CAP00018,Hyderabad,bike,3,parttime,23,15,11,8,0.625,0.612,0.051,0.22,21.3,10.15,0.413,84.0,5,0,0,7,2,qr_scan,1
CAP00019,Bengaluru,bike,7,parttime,32,26,20,12,0.606,0.891,0.553,0.22,16.4,13.02,0.851,162.0,2,1,0,6,3,amazon_pay,1
CAP00020,Chennai,bike,8,parttime,28,19,9,6,0.759,0.591,0.464,0.22,14.8,10.27,0.168,64.0,4,1,0,8,1,amazon_pay,1
CAP00021,Bengaluru,bike,9,fulltime,86,69,50,28,0.667,0.683,0.608,0.22,15.0,11.53,0.405,336.0,0,1,0,5,0,amazon_pay,0
CAP00022,Bengaluru,auto,7,fulltime,101,83,49,36,0.637,0.638,0.269,0.078,31.0,16.77,0.421,742.0,0,0,0,10,1,amazon_pay,0
CAP00023,Hyderabad,bike,8,fulltime,75,59,43,17,0.763,0.513,0.227,0.194,21.6,8.83,0.71,161.0,0,0,0,3,0,qr_scan,0
CAP00024,Hyderabad,auto,11,fulltime,74,63,47,44,0.4,0.41,0.161,0.097,21.6,15.77,0.56,835.0,1,1,1,7,0,gpay,1
CAP00025,Pune,bike,6,fulltime,83,53,25,9,0.881,0.331,0.62,0.22,17.4,9.23,0.342,86.0,1,0,0,6,1,qr_scan,1
CAP00026,Bengaluru,auto,2,parttime,29,17,11,7,0.733,0.807,0.355,0.04,27.6,17.32,0.326,155.0,2,0,0,5,1,gpay,0
CAP00027,Hyderabad,auto,1,fulltime,76,43,37,19,0.74,0.442,0.535,0.081,26.2,18.68,0.488,435.0,2,0,1,8,0,gpay,0
CAP00028,Hyderabad,bike,3,parttime,33,31,15,12,0.618,0.435,0.491,0.22,19.1,8.33,0.476,104.0,1,0,0,7,1,qr_scan,1
CAP00029,Bengaluru,bike,9,fulltime,98,82,67,48,0.505,0.724,0.542,0.193,12.9,12.17,0.553,629.0,4,0,0,3,1,gpay,0
CAP00030,Chennai,bike,7,parttime,29,18,13,9,0.667,0.899,0.233,0.22,14.6,11.94,0.38,112.0,0,1,0,3,3,qr_scan,1
CAP00031,Bengaluru,auto,2,parttime,26,19,14,11,0.556,0.739,0.666,0.04,19.1,13.28,0.171,187.0,3,1,1,2,2,amazon_pay,0
CAP00032,Bengaluru,auto,1,fulltime,76,43,19,7,0.896,0.101,0.716,0.04,24.7,23.21,0.252,208.0,1,0,1,8,2,gpay,1
CAP00033,Delhi,auto,2,parttime,28,22,19,10,0.621,0.494,0.533,0.065,15.4,20.35,0.6,254.0,3,0,1,9,0,paytm,0
CAP00034,Delhi,bike,3,parttime,24,22,19,12,0.48,0.694,0.231,0.22,21.3,9.18,0.418,115.0,3,1,0,8,2,gpay,0
CAP00035,Pune,bike,6,parttime,32,26,19,10,0.667,0.181,0.152,0.22,16.8,9.42,0.354,98.0,4,0,0,2,0,paytm,1
CAP00036,Bengaluru,auto,12,parttime,32,25,23,9,0.697,0.727,0.268,0.14,32.1,18.64,0.394,192.0,2,1,0,5,0,paytm,0
CAP00037,Bengaluru,bike,9,fulltime,77,70,42,22,0.705,0.36,0.424,0.181,12.9,13.05,0.375,314.0,2,0,0,8,1,amazon_pay,0
CAP00038,Chennai,bike,8,parttime,31,23,12,7,0.75,0.449,0.354,0.201,16.9,11.76,0.274,88.0,1,0,1,9,2,qr_scan,0
CAP00039,Hyderabad,bike,10,parttime,22,18,9,3,0.826,0.668,0.336,0.22,11.6,9.83,0.174,31.0,3,1,0,3,1,cash,1
CAP00040,Bengaluru,auto,9,fulltime,76,70,37,27,0.636,0.123,0.447,0.14,30.5,26.0,0.272,805.0,4,0,0,9,0,qr_scan,0
CAP00041,Hyderabad,bike,11,parttime,40,32,14,5,0.854,0.326,0.283,0.22,17.4,7.11,0.449,37.0,0,1,0,6,1,gpay,0
CAP00042,Bengaluru,bike,11,parttime,24,18,14,12,0.48,0.686,0.071,0.22,26.6,7.0,0.57,87.0,0,1,0,5,0,gpay,0
CAP00043,Delhi,bike,8,parttime,29,22,18,10,0.633,0.197,0.321,0.22,13.0,9.61,0.162,100.0,3,0,0,3,0,gpay,0
CAP00044,Bengaluru,auto,7,parttime,35,30,13,7,0.778,0.716,0.24,0.04,19.0,22.12,0.416,198.0,1,0,0,8,0,paytm,1
CAP00045,Chennai,bike,6,parttime,31,17,9,4,0.844,0.426,0.283,0.132,26.9,10.32,0.088,48.0,4,1,0,5,1,qr_scan,0
CAP00046,Bengaluru,bike,8,fulltime,83,56,31,19,0.762,0.413,0.554,0.22,12.5,11.87,0.269,235.0,2,1,0,5,1,amazon_pay,0
CAP00047,Hyderabad,bike,6,parttime,26,14,10,8,0.667,0.25,0.107,0.22,16.9,7.27,0.385,60.0,6,0,1,4,1,cash,0
CAP00048,Hyderabad,auto,2,parttime,29,25,21,14,0.5,0.751,0.689,0.14,20.8,24.09,0.587,387.0,4,0,0,6,0,cash,0
CAP00049,Bengaluru,auto,9,parttime,21,19,15,12,0.409,0.709,0.316,0.064,22.6,18.1,0.061,271.0,3,1,0,6,2,paytm,1
CAP00050,Delhi,auto,9,parttime,31,22,18,16,0.469,0.437,0.183,0.136,27.2,18.63,0.297,343.0,2,0,0,4,3,paytm,0
CAP00051,Chennai,bike,3,fulltime,77,50,40,29,0.615,0.647,0.116,0.08,17.7,13.61,0.833,484.0,1,0,1,6,0,paytm,0
CAP00052,Delhi,auto,9,fulltime,64,36,29,13,0.785,0.046,0.088,0.14,33.0,16.74,0.544,250.0,1,0,0,6,0,gpay,0
CAP00053,Pune,bike,2,parttime,31,17,12,6,0.781,0.566,0.263,0.22,16.2,10.43,0.195,65.0,6,0,0,4,1,paytm,1
CAP00054,Hyderabad,bike,12,parttime,32,24,17,12,0.606,0.41,0.716,0.22,20.3,10.93,0.522,136.0,5,1,0,6,1,qr_scan,0
CAP00055,Delhi,bike,3,fulltime,73,49,42,34,0.527,0.377,0.804,0.22,22.2,9.99,0.164,353.0,0,1,1,6,1,gpay,0
CAP00056,Bengaluru,bike,6,parttime,31,29,21,15,0.5,0.902,0.06,0.15,16.3,9.62,0.183,164.0,4,1,0,6,2,amazon_pay,0
CAP00057,Bengaluru,auto,4,fulltime,77,67,35,24,0.679,0.549,0.228,0.14,31.0,22.42,0.854,617.0,2,1,0,5,3,gpay,1
CAP00058,Bengaluru,bike,8,fulltime,79,57,50,45,0.425,0.436,0.379,0.22,19.9,9.38,0.58,439.0,0,0,0,5,1,paytm,1
CAP00059,Bengaluru,bike,1,parttime,24,15,10,6,0.72,0.675,0.268,0.22,25.8,8.24,0.404,51.0,6,1,1,2,1,cash,1
CAP00060,Hyderabad,bike,6,fulltime,72,50,28,20,0.712,0.164,0.11,0.22,22.5,11.98,0.543,249.0,2,0,0,9,2,cash,0
CAP00061,Bengaluru,bike,2,parttime,27,15,9,4,0.821,0.249,0.281,0.08,15.7,11.33,0.25,56.0,3,0,1,8,1,gpay,1
CAP00062,Pune,bike,6,fulltime,69,55,40,23,0.657,0.109,0.628,0.092,15.5,11.55,0.627,322.0,1,0,1,9,1,amazon_pay,1
CAP00063,Hyderabad,bike,1,fulltime,71,63,40,19,0.722,0.542,0.612,0.22,23.2,12.25,0.466,242.0,1,1,0,7,2,gpay,0
CAP00064,Bengaluru,bike,2,parttime,21,15,11,9,0.545,0.838,0.351,0.132,24.3,11.7,0.543,122.0,2,1,0,9,0,gpay,1
CAP00065,Hyderabad,bike,9,parttime,23,17,12,5,0.75,0.543,0.753,0.22,23.7,14.48,0.101,75.0,3,0,1,4,1,gpay,1
CAP00066,Bengaluru,bike,6,parttime,35,32,23,11,0.667,0.518,0.536,0.22,11.6,7.0,0.353,80.0,2,1,0,7,0,gpay,1
CAP00067,Pune,auto,8,fulltime,82,55,40,16,0.795,0.63,0.127,0.04,22.9,14.7,0.72,301.0,2,1,1,9,2,cash,0
CAP00068,Bengaluru,bike,7,parttime,25,14,8,6,0.731,0.683,0.467,0.22,19.2,8.57,0.639,53.0,5,0,0,6,2,cash,1
CAP00069,Delhi,auto,9,fulltime,84,48,42,16,0.8,0.195,0.471,0.14,15.7,17.64,0.415,324.0,2,1,0,10,2,paytm,0
CAP00070,Chennai,auto,9,parttime,31,26,18,6,0.781,0.452,0.49,0.097,21.9,24.09,0.124,174.0,6,1,0,6,1,paytm,1
CAP00071,Bengaluru,auto,11,fulltime,94,59,27,19,0.789,0.085,0.793,0.14,26.2,22.58,0.581,492.0,1,0,1,6,1,gpay,0
CAP00072,Bengaluru,bike,4,parttime,24,22,13,7,0.68,0.915,0.332,0.22,21.5,9.78,0.303,71.0,4,0,1,2,0,amazon_pay,1
CAP00073,Pune,bike,7,parttime,36,33,26,23,0.351,0.35,0.585,0.22,11.2,9.06,0.515,217.0,1,0,0,7,2,gpay,0
CAP00074,Chennai,auto,5,parttime,25,22,17,14,0.423,0.568,0.148,0.14,26.6,18.94,0.279,304.0,3,1,1,10,1,gpay,0
CAP00075,Chennai,bike,7,parttime,25,18,9,5,0.769,0.435,0.242,0.22,16.7,11.96,0.451,62.0,0,1,0,5,3,amazon_pay,1
CAP00076,Chennai,bike,4,fulltime,79,59,55,21,0.725,0.623,0.557,0.156,19.6,12.77,0.404,302.0,1,1,0,7,2,paytm,0
CAP00077,Bengaluru,bike,12,parttime,34,31,23,15,0.543,0.655,0.421,0.22,12.1,12.46,0.069,194.0,5,1,0,10,1,paytm,0
CAP00078,Hyderabad,bike,10,fulltime,72,48,29,27,0.616,0.362,0.233,0.17,17.1,10.04,0.062,300.0,0,0,0,3,1,cash,0
CAP00079,Bengaluru,auto,11,fulltime,84,62,40,29,0.647,0.439,0.556,0.04,24.0,16.43,0.156,610.0,2,0,1,5,0,paytm,0
CAP00080,Pune,bike,11,parttime,36,25,22,18,0.486,0.512,0.399,0.186,17.3,9.44,0.426,184.0,3,1,0,4,1,gpay,0
CAP00081,Chennai,bike,1,parttime,27,18,11,6,0.75,0.439,0.277,0.169,18.3,10.14,0.181,67.0,6,1,0,7,3,paytm,1
CAP00082,Bengaluru,bike,4,fulltime,75,68,38,14,0.803,0.562,0.253,0.22,8.0,11.96,0.328,174.0,1,1,0,8,1,cash,0
CAP00083,Bengaluru,bike,10,parttime,31,26,16,14,0.531,0.804,0.5,0.155,18.5,11.61,0.409,183.0,3,0,1,3,0,amazon_pay,1
CAP00084,Bengaluru,bike,3,parttime,20,18,12,6,0.667,0.379,0.157,0.22,16.0,12.32,0.374,77.0,3,0,0,7,0,gpay,1
CAP00085,Bengaluru,bike,9,fulltime,66,38,20,8,0.866,0.605,0.346,0.191,10.5,12.54,0.2,108.0,0,1,1,8,2,gpay,1
CAP00086,Chennai,bike,5,fulltime,91,80,38,16,0.815,0.438,0.398,0.22,14.3,8.89,0.294,148.0,1,0,1,7,2,amazon_pay,0
CAP00087,Chennai,bike,4,parttime,31,21,13,5,0.812,0.816,0.363,0.22,15.2,12.28,0.47,64.0,2,1,1,4,0,qr_scan,1
CAP00088,Pune,auto,8,fulltime,69,54,48,29,0.571,0.739,0.021,0.04,17.5,20.99,0.273,779.0,1,1,0,6,0,paytm,0
CAP00089,Hyderabad,bike,5,parttime,25,20,18,15,0.385,0.472,0.296,0.22,18.6,13.39,0.357,209.0,3,0,0,10,3,gpay,0
CAP00090,Bengaluru,bike,3,parttime,44,26,22,9,0.778,0.493,0.732,0.22,15.4,8.26,0.664,77.0,3,0,1,6,1,amazon_pay,1
CAP00091,Chennai,bike,2,parttime,16,13,6,4,0.706,0.618,0.308,0.22,24.0,7.19,0.553,30.0,5,0,0,8,1,paytm,1
CAP00092,Chennai,bike,8,fulltime,80,54,25,9,0.877,0.203,0.062,0.174,17.2,12.95,0.381,128.0,2,1,1,7,0,qr_scan,0
CAP00093,Hyderabad,auto,12,parttime,31,20,14,5,0.812,0.563,0.16,0.104,33.5,19.87,0.252,119.0,4,1,0,9,1,paytm,1
CAP00094,Chennai,auto,2,fulltime,75,55,43,18,0.75,0.176,0.595,0.14,21.6,20.55,0.725,424.0,1,0,0,3,0,gpay,0
CAP00095,Hyderabad,bike,8,parttime,25,21,16,10,0.577,0.745,0.305,0.122,20.3,10.62,0.126,124.0,3,0,0,7,0,gpay,0
CAP00096,Hyderabad,bike,5,parttime,27,19,11,9,0.643,0.666,0.249,0.106,21.6,11.1,0.438,119.0,8,1,0,5,0,amazon_pay,1
CAP00097,Hyderabad,auto,8,fulltime,94,72,44,35,0.621,0.731,0.336,0.108,25.9,21.25,0.21,885.0,2,1,0,7,1,qr_scan,0
CAP00098,Bengaluru,bike,5,parttime,26,16,14,12,0.519,0.904,0.429,0.22,11.9,14.84,0.438,185.0,2,0,0,4,2,paytm,1
CAP00099,Bengaluru,bike,1,parttime,32,21,13,11,0.636,0.83,0.468,0.22,26.1,11.86,0.254,136.0,4,1,0,4,4,gpay,0
CAP00100,Bengaluru,auto,12,parttime,17,15,11,4,0.722,0.785,0.504,0.04,15.9,16.89,0.276,86.0,7,1,0,3,1,paytm,0
CAP00101,Chennai,bike,11,parttime,21,19,13,8,0.591,0.375,0.276,0.22,16.7,10.23,0.474,85.0,1,1,0,3,1,gpay,1
CAP00102,Bengaluru,auto,11,fulltime,74,66,57,46,0.373,0.449,0.285,0.04,17.7,25.14,0.586,1480.0,1,1,0,4,2,qr_scan,0
CAP00103,Hyderabad,bike,2,parttime,33,23,19,17,0.471,0.35,0.133,0.22,17.5,13.11,0.428,232.0,3,0,1,6,0,cash,0
CAP00104,Delhi,bike,6,fulltime,72,40,30,22,0.685,0.27,0.251,0.125,14.1,10.3,0.503,264.0,0,0,0,4,0,paytm,0
CAP00105,Bengaluru,bike,3,parttime,32,29,26,22,0.303,0.773,0.288,0.08,11.0,14.11,0.58,381.0,3,0,1,2,0,paytm,0
CAP00106,Hyderabad,bike,8,parttime,30,21,11,6,0.774,0.792,0.597,0.22,22.9,13.47,0.723,84.0,4,0,0,7,0,amazon_pay,1
CAP00107,Chennai,bike,5,parttime,25,21,15,11,0.538,0.58,0.095,0.08,20.8,9.9,0.106,134.0,6,0,0,5,1,paytm,1
CAP00108,Bengaluru,bike,3,fulltime,73,55,31,17,0.757,0.414,0.086,0.185,12.5,8.62,0.273,159.0,2,0,0,9,3,gpay,1
CAP00109,Bengaluru,bike,12,parttime,21,19,9,4,0.773,0.662,0.323,0.22,17.4,10.03,0.251,42.0,5,1,0,6,0,gpay,1
CAP00110,Bengaluru,bike,10,parttime,25,14,11,4,0.808,0.663,0.485,0.08,19.6,10.17,0.429,50.0,2,0,1,10,0,gpay,1
CAP00111,Bengaluru,bike,7,fulltime,78,68,51,44,0.43,0.74,0.151,0.22,17.1,9.46,0.364,433.0,1,0,0,8,0,qr_scan,0
CAP00112,Delhi,bike,8,parttime,34,30,15,5,0.829,0.852,0.207,0.22,16.9,11.96,0.243,62.0,2,1,1,4,3,gpay,0
CAP00113,Pune,bike,4,fulltime,75,49,46,43,0.421,0.288,0.324,0.22,18.4,10.15,0.437,454.0,1,0,0,6,1,gpay,0
CAP00114,Chennai,bike,11,fulltime,80,64,31,20,0.741,0.422,0.648,0.08,14.2,9.01,0.218,221.0,2,0,0,3,2,paytm,0
CAP00115,Pune,bike,9,fulltime,78,44,34,22,0.709,0.465,0.078,0.08,13.5,12.14,0.422,328.0,4,1,1,8,1,qr_scan,0
CAP00116,Pune,bike,6,fulltime,77,52,39,15,0.795,0.222,0.24,0.22,15.1,11.58,0.101,181.0,2,0,0,6,2,gpay,0
CAP00117,Bengaluru,bike,1,parttime,18,12,7,2,0.842,0.525,0.303,0.22,18.9,11.98,0.378,25.0,0,0,0,3,0,qr_scan,1
CAP00118,Pune,bike,5,fulltime,80,47,41,32,0.593,0.405,0.473,0.185,23.1,7.0,0.563,243.0,1,1,0,4,3,gpay,0
CAP00119,Hyderabad,auto,5,parttime,28,20,12,7,0.724,0.637,0.192,0.14,32.2,15.75,0.494,126.0,2,1,0,6,1,gpay,1
CAP00120,Pune,bike,7,fulltime,83,67,57,26,0.679,0.05,0.236,0.22,11.0,11.24,0.323,304.0,3,0,0,2,2,cash,0
CAP00121,Pune,bike,7,parttime,32,25,18,8,0.727,0.888,0.326,0.107,17.4,13.44,0.097,128.0,5,1,0,5,2,amazon_pay,0
CAP00122,Bengaluru,auto,6,parttime,30,22,14,6,0.774,0.586,0.153,0.131,24.2,19.83,0.142,138.0,3,1,1,6,0,qr_scan,1
CAP00123,Bengaluru,bike,8,parttime,37,22,13,10,0.711,0.631,0.07,0.156,18.7,11.76,0.255,132.0,3,0,1,6,1,paytm,0
CAP00124,Bengaluru,bike,2,parttime,32,18,10,7,0.758,0.758,0.196,0.177,16.8,13.47,0.591,103.0,2,1,0,4,3,gpay,1
CAP00125,Hyderabad,auto,7,parttime,33,29,13,5,0.824,0.775,0.023,0.092,20.3,19.49,0.635,118.0,3,1,0,7,1,gpay,1
CAP00126,Pune,bike,10,parttime,41,31,23,17,0.571,0.651,0.264,0.17,18.6,10.07,0.306,189.0,2,0,0,3,1,gpay,0
CAP00127,Pune,auto,7,fulltime,81,68,46,30,0.622,0.365,0.765,0.14,15.6,23.7,0.178,815.0,0,0,0,6,0,gpay,0
CAP00128,Bengaluru,bike,4,parttime,30,16,9,6,0.774,0.458,0.633,0.105,13.7,8.93,0.114,64.0,3,0,0,4,0,paytm,1
CAP00129,Hyderabad,bike,12,parttime,30,21,11,5,0.806,0.34,0.587,0.138,17.8,10.74,0.117,62.0,4,0,0,6,1,amazon_pay,1
CAP00130,Hyderabad,auto,10,fulltime,92,83,37,13,0.849,0.359,0.458,0.082,18.7,17.42,0.391,277.0,2,1,1,6,0,amazon_pay,1
CAP00131,Bengaluru,bike,2,parttime,35,29,22,14,0.583,0.757,0.508,0.22,22.8,11.93,0.417,174.0,3,0,1,14,4,paytm,0
CAP00132,Bengaluru,bike,4,parttime,32,27,23,16,0.485,0.437,0.466,0.22,18.5,8.72,0.354,145.0,4,1,0,10,1,amazon_pay,0
CAP00133,Bengaluru,bike,4,parttime,35,25,15,11,0.667,0.446,0.702,0.22,11.7,14.13,0.446,162.0,4,0,1,4,4,qr_scan,0
CAP00134,Delhi,bike,12,parttime,22,18,12,7,0.652,0.398,0.294,0.22,19.5,7.0,0.063,51.0,2,0,1,7,1,amazon_pay,1
CAP00135,Bengaluru,bike,12,parttime,21,17,12,8,0.591,0.678,0.172,0.22,17.4,9.99,0.571,83.0,4,0,1,2,2,gpay,1
CAP00136,Hyderabad,bike,6,parttime,29,17,9,6,0.767,0.879,0.192,0.22,14.8,14.82,0.538,92.0,0,1,0,8,3,gpay,0
CAP00137,Chennai,bike,7,fulltime,78,45,31,17,0.772,0.587,0.023,0.22,12.4,10.63,0.169,188.0,1,0,0,7,0,amazon_pay,0
CAP00138,Hyderabad,bike,3,fulltime,71,44,34,28,0.597,0.574,0.339,0.167,12.5,7.98,0.325,248.0,2,0,0,3,0,paytm,0
CAP00139,Delhi,bike,10,fulltime,68,39,34,20,0.696,0.064,0.669,0.147,13.3,12.03,0.547,274.0,0,0,0,8,2,gpay,0
CAP00140,Delhi,bike,1,fulltime,67,52,44,21,0.676,0.566,0.354,0.22,16.7,9.12,0.53,199.0,2,1,0,2,4,paytm,0
CAP00141,Bengaluru,bike,3,fulltime,81,75,66,23,0.707,0.271,0.125,0.145,10.0,15.47,0.465,406.0,3,0,1,6,0,paytm,0
CAP00142,Hyderabad,auto,9,parttime,27,23,21,10,0.607,0.726,0.326,0.14,41.8,18.27,0.261,209.0,1,0,1,2,3,paytm,0
CAP00143,Bengaluru,bike,1,fulltime,81,68,39,16,0.793,0.662,0.294,0.22,16.4,10.05,0.153,167.0,3,0,0,6,0,paytm,0
CAP00144,Bengaluru,bike,8,parttime,29,25,20,13,0.533,0.858,0.175,0.191,20.6,11.1,0.259,156.0,1,1,1,7,1,qr_scan,1
CAP00145,Bengaluru,auto,2,parttime,25,22,16,9,0.615,0.556,0.198,0.14,25.7,20.9,0.166,216.0,4,1,0,6,3,paytm,1
CAP00146,Chennai,auto,6,parttime,33,22,16,8,0.735,0.355,0.289,0.052,29.7,19.9,0.342,201.0,4,0,0,8,1,gpay,1
CAP00147,Hyderabad,bike,3,parttime,26,15,8,3,0.852,0.194,0.73,0.178,22.2,10.12,0.429,33.0,2,0,0,5,0,gpay,0
CAP00148,Bengaluru,auto,7,fulltime,65,55,48,40,0.379,0.056,0.514,0.127,15.2,21.74,0.617,1012.0,2,1,1,5,2,cash,1
CAP00149,Bengaluru,bike,2,fulltime,85,61,51,47,0.442,0.363,0.396,0.22,13.7,11.03,0.604,539.0,2,1,0,7,1,gpay,0
CAP00150,Delhi,auto,4,parttime,30,27,23,19,0.355,0.911,0.338,0.11,26.9,19.14,0.277,432.0,7,1,0,7,3,qr_scan,1
CAP00151,Bengaluru,bike,10,parttime,22,20,18,14,0.348,0.543,0.43,0.22,12.2,15.01,0.165,219.0,3,1,0,7,0,gpay,1
CAP00152,Bengaluru,bike,9,parttime,24,22,13,8,0.64,0.911,0.376,0.22,18.7,8.92,0.538,74.0,1,1,1,8,1,cash,0
CAP00153,Hyderabad,bike,6,parttime,30,25,23,19,0.355,0.651,0.579,0.163,17.3,12.36,0.294,262.0,3,1,0,1,1,qr_scan,0
CAP00154,Delhi,auto,4,fulltime,90,71,39,26,0.703,0.36,0.696,0.14,20.8,22.02,0.246,656.0,2,1,0,8,2,gpay,0
CAP00155,Bengaluru,bike,2,fulltime,69,59,29,15,0.771,0.361,0.678,0.22,17.4,11.7,0.617,183.0,1,0,0,12,1,amazon_pay,0
CAP00156,Chennai,bike,10,parttime,28,18,8,3,0.862,0.736,0.39,0.22,13.2,11.38,0.215,36.0,2,1,1,1,2,paytm,0
CAP00157,Chennai,bike,9,fulltime,82,45,25,11,0.855,0.252,0.461,0.22,11.7,13.37,0.417,153.0,2,0,0,5,0,amazon_pay,1
CAP00158,Bengaluru,auto,4,parttime,31,22,13,8,0.719,0.747,0.434,0.065,34.6,17.34,0.647,173.0,2,1,0,7,3,gpay,0
CAP00159,Chennai,auto,9,parttime,30,24,14,10,0.645,0.759,0.546,0.14,20.0,13.61,0.477,156.0,1,0,1,8,1,gpay,0
CAP00160,Hyderabad,bike,2,fulltime,71,62,56,24,0.653,0.558,0.811,0.22,24.2,10.97,0.5,274.0,3,1,0,3,2,paytm,0
CAP00161,Chennai,bike,7,parttime,27,15,9,3,0.857,0.614,0.178,0.22,16.7,11.87,0.527,37.0,2,1,0,5,0,qr_scan,1
CAP00162,Chennai,bike,11,parttime,22,12,9,3,0.826,0.204,0.618,0.08,12.7,11.2,0.227,41.0,1,1,0,5,1,amazon_pay,0
CAP00163,Hyderabad,bike,11,parttime,21,19,17,9,0.545,0.498,0.57,0.111,18.4,9.64,0.833,103.0,2,1,0,8,1,paytm,1
CAP00164,Bengaluru,auto,5,fulltime,88,55,32,25,0.708,0.417,0.434,0.14,14.5,17.77,0.375,509.0,0,1,0,9,1,amazon_pay,0
CAP00165,Pune,bike,8,parttime,17,14,13,4,0.722,0.308,0.837,0.22,11.8,13.76,0.479,57.0,3,0,0,4,1,gpay,1
CAP00166,Bengaluru,bike,11,fulltime,91,55,45,28,0.685,0.476,0.308,0.157,12.1,12.18,0.533,383.0,0,1,1,5,1,gpay,1
CAP00167,Bengaluru,bike,8,parttime,31,28,23,12,0.594,0.469,0.531,0.22,20.1,10.59,0.618,132.0,3,1,1,5,2,gpay,0
CAP00168,Bengaluru,bike,4,parttime,22,18,13,11,0.478,0.46,0.479,0.22,18.1,9.39,0.297,107.0,2,1,0,5,1,gpay,0
CAP00169,Hyderabad,bike,4,fulltime,80,45,37,34,0.568,0.23,0.581,0.22,19.2,15.92,0.129,563.0,0,1,0,5,1,qr_scan,0
CAP00170,Chennai,bike,8,fulltime,80,52,39,22,0.716,0.469,0.399,0.22,13.8,9.45,0.668,216.0,3,1,0,4,1,amazon_pay,0
CAP00171,Bengaluru,bike,3,fulltime,104,97,67,62,0.4,0.366,0.4,0.22,18.2,7.3,0.441,471.0,1,0,0,4,1,amazon_pay,0
CAP00172,Hyderabad,bike,7,parttime,19,16,14,13,0.3,0.491,0.444,0.22,11.6,15.42,0.618,208.0,1,1,0,8,0,amazon_pay,0
CAP00173,Bengaluru,bike,8,fulltime,72,40,34,23,0.671,0.409,0.256,0.191,17.0,9.98,0.347,248.0,2,0,1,6,1,paytm,0
